mode,scope,group,metric,stock_days,codes,days,nxt_mean,krx_mean,delta_mean,delta_median,delta_q25,delta_q75,nxt_lower_pct,nxt_stock_median,krx_stock_median,cluster_se,ci95_low,ci95_high,p_value,cluster_df
resume5,common_minutes,005930,es_bp,84,1,84,17.793312672233583,17.282085480695862,0.5112271915377176,0.5435770260034083,0.3102164081156049,0.7198354288537434,3.571428571428571,18.014927381799694,17.417007125768706,,,,,0
resume5,common_minutes,005930,es_bp_v2,84,1,84,17.3098628387983,16.62593474403308,0.683928094765218,0.6148840592410707,0.12795314929977142,1.0407928184228172,15.476190476190476,17.450614393408983,16.798816506500557,,,,,0
resume5,common_minutes,005930,rs15_bp,84,1,84,2.2457695670509246,1.443041975623896,0.8027275914270285,0.844928924773871,-0.3009699557324345,2.188527031256687,35.714285714285715,2.4316502112203597,1.6527243126785764,,,,,0
resume5,common_minutes,005930,rs60_bp,84,1,84,-0.6516941919834656,0.8613120955121593,-1.513006287495625,-1.5083369873328238,-2.7252188061235665,-0.028452102977098492,75.0,-0.5562858901168497,0.9916319471199739,,,,,0
resume5,common_minutes,005930,rs300_bp,84,1,84,-1.2370116001762674,0.5026562282719795,-1.7396678284482472,-1.8310459698253867,-3.3523430736561357,0.9329794849708364,69.04761904761905,-0.8685073513434687,0.9475346589293105,,,,,0
resume5,common_minutes,005930,pi15_bp,84,1,84,15.547594788826395,15.83836070883295,-0.2907659200065565,-0.4603104531875939,-1.3811228136644527,0.7350641834091061,57.14285714285714,15.02374247236462,15.696705494795275,,,,,0
resume5,common_minutes,005930,pi60_bp,84,1,84,18.444045485677833,16.418964871886534,2.0250806137912996,1.8756965279872961,0.531643363354374,3.2898397497841265,15.476190476190476,18.313300928591605,15.85888481823683,,,,,0
resume5,common_minutes,005930,pi300_bp,84,1,84,19.025805828694676,16.77172136671889,2.254084461975783,2.361358878098077,-0.28945397351873403,3.9778416077088306,27.380952380952383,18.997228213564476,16.529402714772637,,,,,0
resume5,common_minutes,005930,quoted_spread_bp,84,1,84,18.189934754086714,17.911942371442453,0.27799238264425846,0.23568479168042877,0.1711832279591916,0.36944272363643105,0.0,18.27181503983627,18.01228128443346,,,,,0
resume5,common_minutes,005930,depth_krw,84,1,84,6088343831.56975,9624784394.387638,-3536440562.8178887,-3176719868.244985,-4142104629.37039,-2494666313.590068,100.0,5077484439.706851,8913733887.491743,,,,,0
resume5,common_minutes,000660,es_bp,83,1,83,6.071942367179,5.820616138735736,0.25132622844326435,0.23061953190179896,0.06333983328009873,0.44909123949729457,20.481927710843372,6.1157080079798245,5.920170704745859,,,,,0
resume5,common_minutes,000660,es_bp_v2,83,1,83,6.207418592152645,6.179241118538527,0.028177473614118643,-0.023341242550246832,-0.22732670086416995,0.2853407867207496,51.80722891566265,6.1635777827347855,6.184939300605977,,,,,0
resume5,common_minutes,000660,rs15_bp,83,1,83,-5.021449491296181,-0.808681135663386,-4.212768355632795,-4.047826415482952,-5.400536964188765,-2.858394934253515,100.0,-5.115671562682243,-0.7044424192375415,,,,,0
resume5,common_minutes,000660,rs60_bp,83,1,83,-5.408753807423255,-0.8661970139799802,-4.542556793443275,-4.661612991172783,-5.968118904451136,-3.1286201810619723,98.79518072289156,-5.393678106220714,-0.8944958427985892,,,,,0
resume5,common_minutes,000660,rs300_bp,83,1,83,-6.071448714073083,-1.3509185262481678,-4.720530187824916,-4.9333208577294645,-7.826936433605596,-1.4934063805903173,83.13253012048193,-5.7660401890507,-0.897757482170579,,,,,0
resume5,common_minutes,000660,pi15_bp,83,1,83,11.093336517735214,6.6290944809113626,4.46424203682385,4.355425010448864,3.052687677983711,5.654510454524041,0.0,10.763334943128445,6.54273040134599,,,,,0
resume5,common_minutes,000660,pi60_bp,83,1,83,11.481370124628253,6.686128550193168,4.795241574435083,4.793405198081172,3.406013183794649,6.175823142677627,1.2048192771084338,11.466526119923275,6.733646943038293,,,,,0
resume5,common_minutes,000660,pi300_bp,83,1,83,12.146022039762178,7.173523808922017,4.972498230840161,5.3255972514380066,1.7528711576077955,8.045164196013474,15.66265060240964,12.263419819088453,6.9389025481186195,,,,,0
resume5,common_minutes,000660,quoted_spread_bp,83,1,83,5.937892559563301,5.541479087982937,0.39641347158036416,0.3692495238698461,0.214108717669502,0.5109856331468587,0.0,6.0625002463401385,5.536685650578321,,,,,0
resume5,common_minutes,000660,depth_krw,83,1,83,1030007804.1047819,1708852141.624779,-678844337.5199969,-571948373.8614259,-836755905.3948038,-441080248.28510755,100.0,882751829.0733421,1625050888.1648235,,,,,0
resume5,full_stock_day,ALL,es_bp,51886,644,84,37.0271866438107,22.79104795200727,14.236138691803433,9.242813643744126,3.9376389525131428,18.63316887041778,4.729599506610646,32.545700328455965,21.10730467550187,0.6633764386864947,12.91670963614016,15.555567747466705,1.276140525895434e-35,83
resume5,full_stock_day,ALL,es_bp_v2,51886,644,84,36.25535685471149,24.190177728682695,12.065179126028795,7.075905175779419,1.84693845962021,16.597587620845147,14.059669274948927,31.19657956401673,22.14142408766987,0.6626944201150637,10.747106577873431,13.383251674184159,1.0097974565603708e-30,83
